Data;Hora;Login
21/11/2024;09:21:22;
21/11/2024;09:21:37;
21/11/2024;09:21:51;
21/11/2024;09:29:01;
21/11/2024;09:33:30;
21/11/2024;09:34:12;
21/11/2024;09:34:16;
21/11/2024;09:39:12;
21/11/2024;09:39:54;
21/11/2024;09:40:16;
21/11/2024;09:48:28;
21/11/2024;09:48:44;
21/11/2024;09:49:02;
21/11/2024;09:49:26;HARLEY
21/11/2024;09:49:31;
21/11/2024;09:49:38;
21/11/2024;09:49:38;
21/11/2024;09:49:44;
21/11/2024;09:49:49;
21/11/2024;09:49:49;
21/11/2024;09:49:57;
21/11/2024;09:49:57;
21/11/2024;09:50:10;
21/11/2024;09:50:14;
21/11/2024;09:50:20;
21/11/2024;09:50:20;
21/11/2024;09:51:26;
21/11/2024;09:51:45;
21/11/2024;09:53:28;
21/11/2024;09:53:30;
21/11/2024;09:55:49;
21/11/2024;09:55:51;
21/11/2024;09:55:51;
21/11/2024;09:56:05;
21/11/2024;09:56:06;
21/11/2024;09:56:12;
21/11/2024;09:56:12;
21/11/2024;09:59:13;
21/11/2024;09:59:29;
21/11/2024;09:59:35;HORTIS
21/11/2024;09:59:40;
21/11/2024;09:59:55;
21/11/2024;09:59:55;
21/11/2024;10:00:47;
21/11/2024;10:00:51;
21/11/2024;10:01:01;
21/11/2024;10:01:33;
21/11/2024;10:01:46;HORTIS
21/11/2024;10:01:49;
21/11/2024;10:02:05;
21/11/2024;10:02:05;
21/11/2024;10:02:05;
21/11/2024;10:02:17;
21/11/2024;10:02:19;None
